game,mechanism,model,experiment_dir,run,log_file,records,outcome,rate_pp
PD,reward,Gemini-3.1-Pro-Preview,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three,3,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three/data/game_log3.json,120,cooperation,86.66666666666667
PD,reward,GPT-5.4,prisoners_dilemma_reward/082603_gpt-5.4-three,1,prisoners_dilemma_reward/082603_gpt-5.4-three/data/game_log1.json,120,cooperation,0.0
PD,reward,GPT-5.4,prisoners_dilemma_reward/082603_gpt-5.4-three,2,prisoners_dilemma_reward/082603_gpt-5.4-three/data/game_log2.json,120,cooperation,0.0
PD,reward,GPT-5.4,prisoners_dilemma_reward/082603_gpt-5.4-three,3,prisoners_dilemma_reward/082603_gpt-5.4-three/data/game_log3.json,120,cooperation,0.0
PD,reward,Claude-Opus-4-6,prisoners_dilemma_reward/082604_claude-opus-4-6-three,1,prisoners_dilemma_reward/082604_claude-opus-4-6-three/data/game_log1.json,120,cooperation,100.0
PD,reward,Claude-Opus-4-6,prisoners_dilemma_reward/082604_claude-opus-4-6-three,2,prisoners_dilemma_reward/082604_claude-opus-4-6-three/data/game_log2.json,120,cooperation,100.0
PD,reward,Claude-Opus-4-6,prisoners_dilemma_reward/082604_claude-opus-4-6-three,3,prisoners_dilemma_reward/082604_claude-opus-4-6-three/data/game_log3.json,120,cooperation,100.0
PD,reward,Kimi-K2.6,prisoners_dilemma_reward/082605_kimi-k2.6-three,1,prisoners_dilemma_reward/082605_kimi-k2.6-three/data/game_log1.json,120,cooperation,67.08333333333333
PD,reward,Kimi-K2.6,prisoners_dilemma_reward/082605_kimi-k2.6-three,2,prisoners_dilemma_reward/082605_kimi-k2.6-three/data/game_log2.json,120,cooperation,71.25
PD,reward,Kimi-K2.6,prisoners_dilemma_reward/082605_kimi-k2.6-three,3,prisoners_dilemma_reward/082605_kimi-k2.6-three/data/game_log3.json,120,cooperation,72.08333333333333
PD,reward,GLM-5.1,prisoners_dilemma_reward/082606_glm-5.1-three,1,prisoners_dilemma_reward/082606_glm-5.1-three/data/game_log1.json,120,cooperation,9.583333333333334
PD,reward,GLM-5.1,prisoners_dilemma_reward/082606_glm-5.1-three,2,prisoners_dilemma_reward/082606_glm-5.1-three/data/game_log2.json,120,cooperation,9.166666666666666
PD,reward,GLM-5.1,prisoners_dilemma_reward/082606_glm-5.1-three,3,prisoners_dilemma_reward/082606_glm-5.1-three/data/game_log3.json,120,cooperation,6.25
PD,reward,Grok-4.3,prisoners_dilemma_reward/082801_grok-4.3-three,1,prisoners_dilemma_reward/082801_grok-4.3-three/data/game_log1.json,120,cooperation,3.75
PD,reward,Grok-4.3,prisoners_dilemma_reward/082801_grok-4.3-three,2,prisoners_dilemma_reward/082801_grok-4.3-three/data/game_log2.json,120,cooperation,3.75
PD,reward,Grok-4.3,prisoners_dilemma_reward/082801_grok-4.3-three,3,prisoners_dilemma_reward/082801_grok-4.3-three/data/game_log3.json,120,cooperation,3.75
PGG,punishment,GPT-5.4,public_goods_punishment/result_070301_gpt-5.4-three,1,public_goods_punishment/result_070301_gpt-5.4-three/game_logs1.json,30,contribution,0.0
PGG,punishment,GPT-5.4,public_goods_punishment/result_070301_gpt-5.4-three,2,public_goods_punishment/result_070301_gpt-5.4-three/game_logs2.json,30,contribution,0.0
PGG,punishment,GPT-5.4,public_goods_punishment/result_070301_gpt-5.4-three,3,public_goods_punishment/result_070301_gpt-5.4-three/game_logs3.json,30,contribution,0.0
PGG,punishment,Claude-Opus-4-6,public_goods_punishment/result_071905_claude-opus-4-6-three,1,public_goods_punishment/result_071905_claude-opus-4-6-three/game_logs1.json,30,contribution,75.0
PGG,punishment,Claude-Opus-4-6,public_goods_punishment/result_071905_claude-opus-4-6-three,2,public_goods_punishment/result_071905_claude-opus-4-6-three/game_logs2.json,30,contribution,75.0
PGG,punishment,Claude-Opus-4-6,public_goods_punishment/result_071905_claude-opus-4-6-three,3,public_goods_punishment/result_071905_claude-opus-4-6-three/game_logs3.json,30,contribution,75.0
PGG,punishment,Kimi-K2.6,public_goods_punishment/result_072001_kimi-k2.6-three,1,public_goods_punishment/result_072001_kimi-k2.6-three/game_logs1.json,30,contribution,0.0
PGG,punishment,Kimi-K2.6,public_goods_punishment/result_072001_kimi-k2.6-three,2,public_goods_punishment/result_072001_kimi-k2.6-three/game_logs2.json,30,contribution,0.4166666666666667
PGG,punishment,Kimi-K2.6,public_goods_punishment/result_072001_kimi-k2.6-three,3,public_goods_punishment/result_072001_kimi-k2.6-three/game_logs3.json,30,contribution,0.0
PGG,punishment,GLM-5.1,public_goods_punishment/result_072003_glm-5.1-three,1,public_goods_punishment/result_072003_glm-5.1-three/game_logs1.json,30,contribution,97.38194444444444
PGG,punishment,GLM-5.1,public_goods_punishment/result_072003_glm-5.1-three,2,public_goods_punishment/result_072003_glm-5.1-three/game_logs2.json,30,contribution,99.02777777777779
PGG,punishment,Grok-4.3,public_goods_punishment/result_081601_grok-4.3-three,1,public_goods_punishment/result_081601_grok-4.3-three/game_logs1.json,30,contribution,26.319444444444446
PGG,punishment,Grok-4.3,public_goods_punishment/result_081601_grok-4.3-three,2,public_goods_punishment/result_081601_grok-4.3-three/game_logs2.json,30,contribution,22.98611111111111
PGG,punishment,Gemini-3.1-Pro-Preview,public_goods_punishment/result_gemini-3.1-pro-preview-three,1,public_goods_punishment/result_gemini-3.1-pro-preview-three/game_logs1.json,30,contribution,100.0
PGG,punishment,Gemini-3.1-Pro-Preview,public_goods_punishment/result_gemini-3.1-pro-preview-three,2,public_goods_punishment/result_gemini-3.1-pro-preview-three/game_logs2.json,30,contribution,99.86111111111111
PGG,punishment,Gemini-3.1-Pro-Preview,public_goods_punishment/result_gemini-3.1-pro-preview-three,3,public_goods_punishment/result_gemini-3.1-pro-preview-three/game_logs3.json,30,contribution,100.0
PGG,reputation,Grok-4.3,public_goods_reputation/result_072102_grok-4.3-three,1,public_goods_reputation/result_072102_grok-4.3-three/game_logs1.json,30,contribution,0.0
PGG,reputation,Grok-4.3,public_goods_reputation/result_072102_grok-4.3-three,2,public_goods_reputation/result_072102_grok-4.3-three/game_logs2.json,30,contribution,0.0
PGG,reputation,Grok-4.3,public_goods_reputation/result_072102_grok-4.3-three,3,public_goods_reputation/result_072102_grok-4.3-three/game_logs3.json,30,contribution,0.0
PGG,reputation,GLM-5.1,public_goods_reputation/result_080601_glm-5.1-three-new,1,public_goods_reputation/result_080601_glm-5.1-three-new/game_logs1.json,30,contribution,5.930555555555556
PGG,reputation,GLM-5.1,public_goods_reputation/result_080601_glm-5.1-three-new,2,public_goods_reputation/result_080601_glm-5.1-three-new/game_logs2.json,30,contribution,0.0
PGG,reputation,GLM-5.1,public_goods_reputation/result_080601_glm-5.1-three-new,3,public_goods_reputation/result_080601_glm-5.1-three-new/game_logs3.json,30,contribution,0.2777777777777778
PGG,reputation,GPT-5.4,public_goods_reputation/result_080602_gpt-5.4-three-new,1,public_goods_reputation/result_080602_gpt-5.4-three-new/game_logs1.json,30,contribution,96.38888888888889
PGG,reputation,GPT-5.4,public_goods_reputation/result_080602_gpt-5.4-three-new,2,public_goods_reputation/result_080602_gpt-5.4-three-new/game_logs2.json,30,contribution,97.08333333333333
PGG,reputation,GPT-5.4,public_goods_reputation/result_080602_gpt-5.4-three-new,3,public_goods_reputation/result_080602_gpt-5.4-three-new/game_logs3.json,30,contribution,97.77777777777777
PGG,reputation,Gemini-3.1-Pro-Preview,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new,1,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new/game_logs1.json,30,contribution,99.58333333333333
PGG,reputation,Gemini-3.1-Pro-Preview,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new,2,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new/game_logs2.json,30,contribution,100.0
PGG,reputation,Gemini-3.1-Pro-Preview,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new,3,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new/game_logs3.json,30,contribution,100.0
PGG,reputation,Kimi-K2.6,public_goods_reputation/result_080604_kimi-k2.6-three-new,1,public_goods_reputation/result_080604_kimi-k2.6-three-new/game_logs1.json,30,contribution,0.4166666666666667
PGG,reputation,Kimi-K2.6,public_goods_reputation/result_080604_kimi-k2.6-three-new,2,public_goods_reputation/result_080604_kimi-k2.6-three-new/game_logs2.json,30,contribution,0.6944444444444444
PGG,reputation,Kimi-K2.6,public_goods_reputation/result_080604_kimi-k2.6-three-new,3,public_goods_reputation/result_080604_kimi-k2.6-three-new/game_logs3.json,30,contribution,1.215277777777778
PGG,reputation,Claude-Opus-4-6,public_goods_reputation/result_claude-opus-4-6-three,1,public_goods_reputation/result_claude-opus-4-6-three/game_logs1.json,30,contribution,50.0
PGG,reputation,Claude-Opus-4-6,public_goods_reputation/result_claude-opus-4-6-three,2,public_goods_reputation/result_claude-opus-4-6-three/game_logs2.json,30,contribution,50.0
PGG,reputation,Claude-Opus-4-6,public_goods_reputation/result_claude-opus-4-6-three,3,public_goods_reputation/result_claude-opus-4-6-three/game_logs3.json,30,contribution,50.0
PGG,reward,GLM-5.1,public_goods_reward/result_070504_glm-5.1-three,1,public_goods_reward/result_070504_glm-5.1-three/game_logs1.json,30,contribution,7.625000000000001
PGG,reward,GLM-5.1,public_goods_reward/result_070504_glm-5.1-three,2,public_goods_reward/result_070504_glm-5.1-three/game_logs2.json,30,contribution,10.902777777777779
PGG,reward,GLM-5.1,public_goods_reward/result_070504_glm-5.1-three,3,public_goods_reward/result_070504_glm-5.1-three/game_logs3.json,30,contribution,11.569444444444445
PGG,reward,Claude-Opus-4-6,public_goods_reward/result_070703_claude-opus-4-6-three,1,public_goods_reward/result_070703_claude-opus-4-6-three/game_logs1.json,30,contribution,17.166666666666668
PGG,reward,Claude-Opus-4-6,public_goods_reward/result_070703_claude-opus-4-6-three,2,public_goods_reward/result_070703_claude-opus-4-6-three/game_logs2.json,30,contribution,9.729166666666666
PGG,reward,Claude-Opus-4-6,public_goods_reward/result_070703_claude-opus-4-6-three,3,public_goods_reward/result_070703_claude-opus-4-6-three/game_logs3.json,30,contribution,14.36111111111111
PGG,reward,Kimi-K2.6,public_goods_reward/result_072201_kimi-k2.6-three,1,public_goods_reward/result_072201_kimi-k2.6-three/game_logs1.json,30,contribution,0.2777777777777778
PGG,reward,Kimi-K2.6,public_goods_reward/result_072201_kimi-k2.6-three,2,public_goods_reward/result_072201_kimi-k2.6-three/game_logs2.json,30,contribution,0.8194444444444445
PGG,reward,Kimi-K2.6,public_goods_reward/result_072201_kimi-k2.6-three,3,public_goods_reward/result_072201_kimi-k2.6-three/game_logs3.json,30,contribution,0.1388888888888889
PGG,reward,Grok-4.3,public_goods_reward/result_072204_grok-4.3-three,1,public_goods_reward/result_072204_grok-4.3-three/game_logs1.json,30,contribution,0.0
PGG,reward,Grok-4.3,public_goods_reward/result_072204_grok-4.3-three,2,public_goods_reward/result_072204_grok-4.3-three/game_logs2.json,30,contribution,0.0
PGG,reward,Grok-4.3,public_goods_reward/result_072204_grok-4.3-three,3,public_goods_reward/result_072204_grok-4.3-three/game_logs3.json,30,contribution,0.0
PGG,reward,Gemini-3.1-Pro-Preview,public_goods_reward/result_072302_gemini-3.1-pro-preview-three,1,public_goods_reward/result_072302_gemini-3.1-pro-preview-three/game_logs1.json,30,contribution,4.305555555555555
PGG,reward,Gemini-3.1-Pro-Preview,public_goods_reward/result_072302_gemini-3.1-pro-preview-three,2,public_goods_reward/result_072302_gemini-3.1-pro-preview-three/game_logs2.json,30,contribution,3.6111111111111107
PGG,reward,Gemini-3.1-Pro-Preview,public_goods_reward/result_072302_gemini-3.1-pro-preview-three,3,public_goods_reward/result_072302_gemini-3.1-pro-preview-three/game_logs3.json,30,contribution,2.7777777777777777
PGG,reward,GPT-5.4,public_goods_reward/result_081601_gpt-5.4-three,1,public_goods_reward/result_081601_gpt-5.4-three/game_logs1.json,30,contribution,3.888888888888889
PGG,reward,GPT-5.4,public_goods_reward/result_081601_gpt-5.4-three,2,public_goods_reward/result_081601_gpt-5.4-three/game_logs2.json,30,contribution,1.1111111111111112
PGG,reward,GPT-5.4,public_goods_reward/result_081601_gpt-5.4-three,3,public_goods_reward/result_081601_gpt-5.4-three/game_logs3.json,30,contribution,1.9444444444444444
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,1,trust_game_punishment/072902_kimi-k2.6-three/data/game_log1.json,360,sender,81.58333333333334
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,1,trust_game_punishment/072902_kimi-k2.6-three/data/game_log1.json,360,receiver,54.29739858906526
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,2,trust_game_punishment/072902_kimi-k2.6-three/data/game_log2.json,360,sender,79.91666666666669
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,2,trust_game_punishment/072902_kimi-k2.6-three/data/game_log2.json,360,receiver,56.5749007936508
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,3,trust_game_punishment/072902_kimi-k2.6-three/data/game_log3.json,360,sender,79.55555555555554
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,3,trust_game_punishment/072902_kimi-k2.6-three/data/game_log3.json,360,receiver,55.390303753813505
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,1,trust_game_punishment/072903_gpt-5.4-three/data/game_log1.json,360,sender,79.5
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,1,trust_game_punishment/072903_gpt-5.4-three/data/game_log1.json,360,receiver,44.059671624141544
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,2,trust_game_punishment/072903_gpt-5.4-three/data/game_log2.json,360,sender,74.77777777777777
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,2,trust_game_punishment/072903_gpt-5.4-three/data/game_log2.json,360,receiver,42.70676691729323
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,3,trust_game_punishment/072903_gpt-5.4-three/data/game_log3.json,360,sender,81.52777777777777
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,3,trust_game_punishment/072903_gpt-5.4-three/data/game_log3.json,360,receiver,44.739050123665514
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,1,trust_game_punishment/072904_grok-4.3-three/data/game_log1.json,360,sender,96.00000000000001
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,1,trust_game_punishment/072904_grok-4.3-three/data/game_log1.json,360,receiver,69.80764057035242
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,2,trust_game_punishment/072904_grok-4.3-three/data/game_log2.json,360,sender,92.77777777777779
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,2,trust_game_punishment/072904_grok-4.3-three/data/game_log2.json,360,receiver,67.74193548387096
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,3,trust_game_punishment/072904_grok-4.3-three/data/game_log3.json,360,sender,85.94444444444443
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,3,trust_game_punishment/072904_grok-4.3-three/data/game_log3.json,360,receiver,62.91145158969932
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,1,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log1.json,360,sender,100.0
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,1,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log1.json,360,receiver,63.324074074074076
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,2,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log2.json,360,sender,100.0
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,2,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log2.json,360,receiver,63.6388888888889
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,3,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log3.json,360,sender,100.0
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,3,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log3.json,360,receiver,63.45370370370371
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,1,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log1.json,360,sender,99.63888888888889
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,1,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log1.json,360,receiver,44.770833333333336
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,2,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log2.json,360,sender,99.55555555555556
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,2,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log2.json,360,receiver,46.23148148148148
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,3,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log3.json,360,sender,99.55555555555556
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,3,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log3.json,360,receiver,44.94675925925926
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,1,trust_game_punishment/080501-glm-5.1-three/data/game_log1.json,360,sender,64.77777777777777
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,1,trust_game_punishment/080501-glm-5.1-three/data/game_log1.json,360,receiver,55.33394188346264
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,2,trust_game_punishment/080501-glm-5.1-three/data/game_log2.json,360,sender,64.33333333333333
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,2,trust_game_punishment/080501-glm-5.1-three/data/game_log2.json,360,receiver,57.37549148099607
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,3,trust_game_punishment/080501-glm-5.1-three/data/game_log3.json,360,sender,63.47222222222222
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,3,trust_game_punishment/080501-glm-5.1-three/data/game_log3.json,360,receiver,57.77777777777777
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,1,trust_game_reputation/090101_glm-5.1/data/game_log1.json,360,sender,93.91666666666667
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,1,trust_game_reputation/090101_glm-5.1/data/game_log1.json,360,receiver,55.413145539906104
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,2,trust_game_reputation/090101_glm-5.1/data/game_log2.json,360,sender,94.75
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,2,trust_game_reputation/090101_glm-5.1/data/game_log2.json,360,receiver,56.95996275605215
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,3,trust_game_reputation/090101_glm-5.1/data/game_log3.json,360,sender,93.52777777777777
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,3,trust_game_reputation/090101_glm-5.1/data/game_log3.json,360,receiver,56.166719127059075
TG,reputation,GPT-5.4,trust_game_reputation/090102_gpt-5.4,1,trust_game_reputation/090102_gpt-5.4/data/game_log1.json,360,sender,85.77777777777779
TG,reputation,GPT-5.4,trust_game_reputation/090102_gpt-5.4,1,trust_game_reputation/090102_gpt-5.4/data/game_log1.json,360,receiver,40.17097505668934
TG,reputation,GPT-5.4,trust_game_reputation/090102_gpt-5.4,2,trust_game_reputation/090102_gpt-5.4/data/game_log2.json,360,sender,88.13888888888889
TG,reputation,GPT-5.4,trust_game_reputation/090102_gpt-5.4,2,trust_game_reputation/090102_gpt-5.4/data/game_log2.json,360,receiver,40.18425628678437
