game,mechanism,model,experiment_dir,run,log_file,records,net_welfare_normalized_pp,payoff_equality_level
PD,punishment,Kimi-K2.6,prisoners_dilemma_punishment/080404_kimi-k2.6-three,3,prisoners_dilemma_punishment/080404_kimi-k2.6-three/data/game_log3.json,120,2.0833333333333335,0.792
PD,punishment,Grok-4.3,prisoners_dilemma_punishment/080405_grok-4.3-three,1,prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log1.json,120,44.375,0.7326158940397351
PD,punishment,Grok-4.3,prisoners_dilemma_punishment/080405_grok-4.3-three,2,prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log2.json,120,39.791666666666664,0.7365622583139986
PD,punishment,Grok-4.3,prisoners_dilemma_punishment/080405_grok-4.3-three,3,prisoners_dilemma_punishment/080405_grok-4.3-three/data/game_log3.json,120,46.25,0.7907647907647908
PD,punishment,GLM-5.1,prisoners_dilemma_punishment/080408_glm-5.1-three,1,prisoners_dilemma_punishment/080408_glm-5.1-three/data/game_log1.json,120,2.5,0.8062169312169314
PD,punishment,GLM-5.1,prisoners_dilemma_punishment/080408_glm-5.1-three,2,prisoners_dilemma_punishment/080408_glm-5.1-three/data/game_log2.json,120,2.5,0.8445767195767198
PD,punishment,GLM-5.1,prisoners_dilemma_punishment/080408_glm-5.1-three,3,prisoners_dilemma_punishment/080408_glm-5.1-three/data/game_log3.json,120,0.625,0.859567901234568
PD,reputation,GPT-5.4,prisoners_dilemma_reputation/072801_gpt-5.4_three,1,prisoners_dilemma_reputation/072801_gpt-5.4_three/data/game_log1.json,120,0.0,0.8454861111111112
PD,reputation,GPT-5.4,prisoners_dilemma_reputation/072801_gpt-5.4_three,2,prisoners_dilemma_reputation/072801_gpt-5.4_three/data/game_log2.json,120,0.625,0.8420781893004117
PD,reputation,GPT-5.4,prisoners_dilemma_reputation/072801_gpt-5.4_three,3,prisoners_dilemma_reputation/072801_gpt-5.4_three/data/game_log3.json,120,0.0,0.8454861111111112
PD,reputation,Gemini-3.1-Pro-Preview,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three,1,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three/data/game_log1.json,120,100.0,0.8454861111111112
PD,reputation,Gemini-3.1-Pro-Preview,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three,2,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three/data/game_log2.json,120,100.0,0.846875
PD,reputation,Gemini-3.1-Pro-Preview,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three,3,prisoners_dilemma_reputation/072802_gemini-3.1-pro-preview-three/data/game_log3.json,120,100.0,0.8454861111111112
PD,reputation,Claude-Opus-4-6,prisoners_dilemma_reputation/072803_claude-opus-4-6-three,1,prisoners_dilemma_reputation/072803_claude-opus-4-6-three/data/game_log1.json,120,100.0,0.8454861111111112
PD,reputation,Claude-Opus-4-6,prisoners_dilemma_reputation/072803_claude-opus-4-6-three,2,prisoners_dilemma_reputation/072803_claude-opus-4-6-three/data/game_log2.json,120,100.0,0.846875
PD,reputation,Claude-Opus-4-6,prisoners_dilemma_reputation/072803_claude-opus-4-6-three,3,prisoners_dilemma_reputation/072803_claude-opus-4-6-three/data/game_log3.json,120,100.0,0.8454861111111112
PD,reputation,Kimi-K2.6,prisoners_dilemma_reputation/072804_kimi-k2.6-three,1,prisoners_dilemma_reputation/072804_kimi-k2.6-three/data/game_log1.json,120,1.4583333333333333,0.8345141700404859
PD,reputation,Kimi-K2.6,prisoners_dilemma_reputation/072804_kimi-k2.6-three,2,prisoners_dilemma_reputation/072804_kimi-k2.6-three/data/game_log2.json,120,1.875,0.832831325301205
PD,reputation,Kimi-K2.6,prisoners_dilemma_reputation/072804_kimi-k2.6-three,3,prisoners_dilemma_reputation/072804_kimi-k2.6-three/data/game_log3.json,120,2.5,0.8316798941798942
PD,reputation,Grok-4.3,prisoners_dilemma_reputation/072805_grok-4.3-three,1,prisoners_dilemma_reputation/072805_grok-4.3-three/data/game_log1.json,120,0.0,0.8454861111111112
PD,reputation,Grok-4.3,prisoners_dilemma_reputation/072805_grok-4.3-three,2,prisoners_dilemma_reputation/072805_grok-4.3-three/data/game_log2.json,120,0.0,0.846875
PD,reputation,Grok-4.3,prisoners_dilemma_reputation/072805_grok-4.3-three,3,prisoners_dilemma_reputation/072805_grok-4.3-three/data/game_log3.json,120,0.0,0.8454861111111112
PD,reputation,GLM-5.1,prisoners_dilemma_reputation/072806_glm-5.1-three,1,prisoners_dilemma_reputation/072806_glm-5.1-three/data/game_log1.json,120,6.25,0.8228395061728395
PD,reputation,GLM-5.1,prisoners_dilemma_reputation/072806_glm-5.1-three,2,prisoners_dilemma_reputation/072806_glm-5.1-three/data/game_log2.json,120,11.041666666666666,0.7774459613196816
PD,reputation,GLM-5.1,prisoners_dilemma_reputation/072806_glm-5.1-three,3,prisoners_dilemma_reputation/072806_glm-5.1-three/data/game_log3.json,120,8.75,0.7919621749408985
PD,reward,Gemini-3.1-Pro-Preview,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three,1,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three/data/game_log1.json,120,92.70833333333333,0.820498783454988
PD,reward,Gemini-3.1-Pro-Preview,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three,2,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three/data/game_log2.json,120,94.375,0.8235329485329486
PD,reward,Gemini-3.1-Pro-Preview,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three,3,prisoners_dilemma_reward/082602_gemini-3.1-pro-preview-three/data/game_log3.json,120,92.5,0.8176169590643276
PD,reward,GPT-5.4,prisoners_dilemma_reward/082603_gpt-5.4-three,1,prisoners_dilemma_reward/082603_gpt-5.4-three/data/game_log1.json,120,0.0,0.8454861111111112
PD,reward,GPT-5.4,prisoners_dilemma_reward/082603_gpt-5.4-three,2,prisoners_dilemma_reward/082603_gpt-5.4-three/data/game_log2.json,120,0.0,0.8475694444444446
PD,reward,GPT-5.4,prisoners_dilemma_reward/082603_gpt-5.4-three,3,prisoners_dilemma_reward/082603_gpt-5.4-three/data/game_log3.json,120,0.0,0.8354166666666667
PD,reward,Claude-Opus-4-6,prisoners_dilemma_reward/082604_claude-opus-4-6-three,1,prisoners_dilemma_reward/082604_claude-opus-4-6-three/data/game_log1.json,120,100.0,0.8450231481481483
PD,reward,Claude-Opus-4-6,prisoners_dilemma_reward/082604_claude-opus-4-6-three,2,prisoners_dilemma_reward/082604_claude-opus-4-6-three/data/game_log2.json,120,100.0,0.8556712962962965
PD,reward,Claude-Opus-4-6,prisoners_dilemma_reward/082604_claude-opus-4-6-three,3,prisoners_dilemma_reward/082604_claude-opus-4-6-three/data/game_log3.json,120,100.0,0.8385416666666667
PD,reward,Kimi-K2.6,prisoners_dilemma_reward/082605_kimi-k2.6-three,1,prisoners_dilemma_reward/082605_kimi-k2.6-three/data/game_log1.json,120,78.95833333333333,0.8461900915455036
PD,reward,Kimi-K2.6,prisoners_dilemma_reward/082605_kimi-k2.6-three,2,prisoners_dilemma_reward/082605_kimi-k2.6-three/data/game_log2.json,120,82.70833333333333,0.8369309262166407
PD,reward,Kimi-K2.6,prisoners_dilemma_reward/082605_kimi-k2.6-three,3,prisoners_dilemma_reward/082605_kimi-k2.6-three/data/game_log3.json,120,84.375,0.8465762273901809
PD,reward,GLM-5.1,prisoners_dilemma_reward/082606_glm-5.1-three,1,prisoners_dilemma_reward/082606_glm-5.1-three/data/game_log1.json,120,13.958333333333334,0.7463355048859937
PD,reward,GLM-5.1,prisoners_dilemma_reward/082606_glm-5.1-three,2,prisoners_dilemma_reward/082606_glm-5.1-three/data/game_log2.json,120,12.916666666666666,0.7709713024282561
PD,reward,GLM-5.1,prisoners_dilemma_reward/082606_glm-5.1-three,3,prisoners_dilemma_reward/082606_glm-5.1-three/data/game_log3.json,120,8.541666666666666,0.7617141162514829
PD,reward,Grok-4.3,prisoners_dilemma_reward/082801_grok-4.3-three,1,prisoners_dilemma_reward/082801_grok-4.3-three/data/game_log1.json,120,5.625,0.8166354556803996
PD,reward,Grok-4.3,prisoners_dilemma_reward/082801_grok-4.3-three,2,prisoners_dilemma_reward/082801_grok-4.3-three/data/game_log2.json,120,5.625,0.8050873907615481
PD,reward,Grok-4.3,prisoners_dilemma_reward/082801_grok-4.3-three,3,prisoners_dilemma_reward/082801_grok-4.3-three/data/game_log3.json,120,5.208333333333333,0.8256289308176101
PGG,punishment,GPT-5.4,public_goods_punishment/result_070301_gpt-5.4-three,1,public_goods_punishment/result_070301_gpt-5.4-three/game_logs1.json,30,0.0,1.0
PGG,punishment,GPT-5.4,public_goods_punishment/result_070301_gpt-5.4-three,2,public_goods_punishment/result_070301_gpt-5.4-three/game_logs2.json,30,0.0,1.0
PGG,punishment,GPT-5.4,public_goods_punishment/result_070301_gpt-5.4-three,3,public_goods_punishment/result_070301_gpt-5.4-three/game_logs3.json,30,0.0,1.0
PGG,punishment,Claude-Opus-4-6,public_goods_punishment/result_071905_claude-opus-4-6-three,1,public_goods_punishment/result_071905_claude-opus-4-6-three/game_logs1.json,30,75.0,1.0
PGG,punishment,Claude-Opus-4-6,public_goods_punishment/result_071905_claude-opus-4-6-three,2,public_goods_punishment/result_071905_claude-opus-4-6-three/game_logs2.json,30,75.0,1.0
PGG,punishment,Claude-Opus-4-6,public_goods_punishment/result_071905_claude-opus-4-6-three,3,public_goods_punishment/result_071905_claude-opus-4-6-three/game_logs3.json,30,75.0,1.0
PGG,punishment,Kimi-K2.6,public_goods_punishment/result_072001_kimi-k2.6-three,1,public_goods_punishment/result_072001_kimi-k2.6-three/game_logs1.json,30,0.0,1.0
PGG,punishment,Kimi-K2.6,public_goods_punishment/result_072001_kimi-k2.6-three,2,public_goods_punishment/result_072001_kimi-k2.6-three/game_logs2.json,30,0.4166666666666667,0.9964802896218825
PGG,punishment,Kimi-K2.6,public_goods_punishment/result_072001_kimi-k2.6-three,3,public_goods_punishment/result_072001_kimi-k2.6-three/game_logs3.json,30,0.0,1.0
PGG,punishment,GLM-5.1,public_goods_punishment/result_072003_glm-5.1-three,1,public_goods_punishment/result_072003_glm-5.1-three/game_logs1.json,30,90.85416666666667,0.971664166281891
PGG,punishment,GLM-5.1,public_goods_punishment/result_072003_glm-5.1-three,2,public_goods_punishment/result_072003_glm-5.1-three/game_logs2.json,30,96.3888888888889,0.9852125819827364
PGG,punishment,Grok-4.3,public_goods_punishment/result_081601_grok-4.3-three,1,public_goods_punishment/result_081601_grok-4.3-three/game_logs1.json,30,-118.79037467700259,
PGG,punishment,Grok-4.3,public_goods_punishment/result_081601_grok-4.3-three,2,public_goods_punishment/result_081601_grok-4.3-three/game_logs2.json,30,-96.27422480620156,
PGG,punishment,Gemini-3.1-Pro-Preview,public_goods_punishment/result_gemini-3.1-pro-preview-three,1,public_goods_punishment/result_gemini-3.1-pro-preview-three/game_logs1.json,30,100.0,1.0
PGG,punishment,Gemini-3.1-Pro-Preview,public_goods_punishment/result_gemini-3.1-pro-preview-three,2,public_goods_punishment/result_gemini-3.1-pro-preview-three/game_logs2.json,30,99.34108527131782,0.9966508761206194
PGG,punishment,Gemini-3.1-Pro-Preview,public_goods_punishment/result_gemini-3.1-pro-preview-three,3,public_goods_punishment/result_gemini-3.1-pro-preview-three/game_logs3.json,30,100.0,1.0
PGG,reputation,Grok-4.3,public_goods_reputation/result_072102_grok-4.3-three,1,public_goods_reputation/result_072102_grok-4.3-three/game_logs1.json,30,0.0,1.0
PGG,reputation,Grok-4.3,public_goods_reputation/result_072102_grok-4.3-three,2,public_goods_reputation/result_072102_grok-4.3-three/game_logs2.json,30,0.0,1.0
PGG,reputation,Grok-4.3,public_goods_reputation/result_072102_grok-4.3-three,3,public_goods_reputation/result_072102_grok-4.3-three/game_logs3.json,30,0.0,1.0
PGG,reputation,GLM-5.1,public_goods_reputation/result_080601_glm-5.1-three-new,1,public_goods_reputation/result_080601_glm-5.1-three-new/game_logs1.json,30,6.019379844961239,0.9922631903262809
PGG,reputation,GLM-5.1,public_goods_reputation/result_080601_glm-5.1-three-new,2,public_goods_reputation/result_080601_glm-5.1-three-new/game_logs2.json,30,0.0,1.0
PGG,reputation,GLM-5.1,public_goods_reputation/result_080601_glm-5.1-three-new,3,public_goods_reputation/result_080601_glm-5.1-three-new/game_logs3.json,30,0.27939276485788117,0.9976377774763778
PGG,reputation,GPT-5.4,public_goods_reputation/result_080602_gpt-5.4-three-new,1,public_goods_reputation/result_080602_gpt-5.4-three-new/game_logs1.json,30,97.50645994832045,0.9983876178919537
PGG,reputation,GPT-5.4,public_goods_reputation/result_080602_gpt-5.4-three-new,2,public_goods_reputation/result_080602_gpt-5.4-three-new/game_logs2.json,30,98.20574935400522,0.9983635744288746
PGG,reputation,GPT-5.4,public_goods_reputation/result_080602_gpt-5.4-three-new,3,public_goods_reputation/result_080602_gpt-5.4-three-new/game_logs3.json,30,98.90988372093028,0.998666812769377
PGG,reputation,Gemini-3.1-Pro-Preview,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new,1,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new/game_logs1.json,30,100.54425064599485,0.9993227224517809
PGG,reputation,Gemini-3.1-Pro-Preview,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new,2,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new/game_logs2.json,30,101.02067183462535,0.9995286873494666
PGG,reputation,Gemini-3.1-Pro-Preview,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new,3,public_goods_reputation/result_080603_gemini-3.1-pro-preview-three-new/game_logs3.json,30,101.00290697674421,0.9996498950880162
PGG,reputation,Kimi-K2.6,public_goods_reputation/result_080604_kimi-k2.6-three-new,1,public_goods_reputation/result_080604_kimi-k2.6-three-new/game_logs1.json,30,0.4166666666666667,0.9964802896218825
PGG,reputation,Kimi-K2.6,public_goods_reputation/result_080604_kimi-k2.6-three-new,2,public_goods_reputation/result_080604_kimi-k2.6-three-new/game_logs2.json,30,0.6960594315245477,0.9941903638666842
PGG,reputation,Kimi-K2.6,public_goods_reputation/result_080604_kimi-k2.6-three-new,3,public_goods_reputation/result_080604_kimi-k2.6-three-new/game_logs3.json,30,1.215277777777778,0.9906082992769569
PGG,reputation,Claude-Opus-4-6,public_goods_reputation/result_claude-opus-4-6-three,1,public_goods_reputation/result_claude-opus-4-6-three/game_logs1.json,30,51.16279069767441,0.9992283950617284
PGG,reputation,Claude-Opus-4-6,public_goods_reputation/result_claude-opus-4-6-three,2,public_goods_reputation/result_claude-opus-4-6-three/game_logs2.json,30,51.16279069767441,0.9992283950617284
PGG,reputation,Claude-Opus-4-6,public_goods_reputation/result_claude-opus-4-6-three,3,public_goods_reputation/result_claude-opus-4-6-three/game_logs3.json,30,51.16279069767441,0.9992283950617284
PGG,reward,GLM-5.1,public_goods_reward/result_070504_glm-5.1-three,1,public_goods_reward/result_070504_glm-5.1-three/game_logs1.json,30,9.579134366925064,0.9393057861309535
PGG,reward,GLM-5.1,public_goods_reward/result_070504_glm-5.1-three,2,public_goods_reward/result_070504_glm-5.1-three/game_logs2.json,30,13.901808785529717,0.930454516700405
PGG,reward,GLM-5.1,public_goods_reward/result_070504_glm-5.1-three,3,public_goods_reward/result_070504_glm-5.1-three/game_logs3.json,30,14.636304909560723,0.9259019562027042
PGG,reward,Claude-Opus-4-6,public_goods_reward/result_070703_claude-opus-4-6-three,1,public_goods_reward/result_070703_claude-opus-4-6-three/game_logs1.json,30,23.319767441860467,0.877826222912315
PGG,reward,Claude-Opus-4-6,public_goods_reward/result_070703_claude-opus-4-6-three,2,public_goods_reward/result_070703_claude-opus-4-6-three/game_logs2.json,30,12.560239018087856,0.9267266129409173
PGG,reward,Claude-Opus-4-6,public_goods_reward/result_070703_claude-opus-4-6-three,3,public_goods_reward/result_070703_claude-opus-4-6-three/game_logs3.json,30,18.214470284237724,0.9134710436690048
PGG,reward,Kimi-K2.6,public_goods_reward/result_072201_kimi-k2.6-three,1,public_goods_reward/result_072201_kimi-k2.6-three/game_logs1.json,30,0.3892118863049096,0.9895903328405682
PGG,reward,Kimi-K2.6,public_goods_reward/result_072201_kimi-k2.6-three,2,public_goods_reward/result_072201_kimi-k2.6-three/game_logs2.json,30,0.9179586563307499,0.9951673875358291
PGG,reward,Kimi-K2.6,public_goods_reward/result_072201_kimi-k2.6-three,3,public_goods_reward/result_072201_kimi-k2.6-three/game_logs3.json,30,0.17280361757105941,0.9970005930386387
PGG,reward,Grok-4.3,public_goods_reward/result_072204_grok-4.3-three,1,public_goods_reward/result_072204_grok-4.3-three/game_logs1.json,30,0.0,1.0
PGG,reward,Grok-4.3,public_goods_reward/result_072204_grok-4.3-three,2,public_goods_reward/result_072204_grok-4.3-three/game_logs2.json,30,0.0,1.0
PGG,reward,Grok-4.3,public_goods_reward/result_072204_grok-4.3-three,3,public_goods_reward/result_072204_grok-4.3-three/game_logs3.json,30,0.0,1.0
PGG,reward,Gemini-3.1-Pro-Preview,public_goods_reward/result_072302_gemini-3.1-pro-preview-three,1,public_goods_reward/result_072302_gemini-3.1-pro-preview-three/game_logs1.json,30,4.434754521963824,0.9932636235672634
PGG,reward,Gemini-3.1-Pro-Preview,public_goods_reward/result_072302_gemini-3.1-pro-preview-three,2,public_goods_reward/result_072302_gemini-3.1-pro-preview-three/game_logs2.json,30,3.6531007751937983,0.9974503276262947
PGG,reward,Gemini-3.1-Pro-Preview,public_goods_reward/result_072302_gemini-3.1-pro-preview-three,3,public_goods_reward/result_072302_gemini-3.1-pro-preview-three/game_logs3.json,30,2.8084625322997416,0.9956510795390985
PGG,reward,GPT-5.4,public_goods_reward/result_081601_gpt-5.4-three,1,public_goods_reward/result_081601_gpt-5.4-three/game_logs1.json,30,3.896963824289406,0.9905856652449809
PGG,reward,GPT-5.4,public_goods_reward/result_081601_gpt-5.4-three,2,public_goods_reward/result_081601_gpt-5.4-three/game_logs2.json,30,1.1111111111111112,0.9932386747802571
PGG,reward,GPT-5.4,public_goods_reward/result_081601_gpt-5.4-three,3,public_goods_reward/result_081601_gpt-5.4-three/game_logs3.json,30,1.9444444444444444,0.9917697921624624
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,1,trust_game_punishment/072902_kimi-k2.6-three/data/game_log1.json,360,79.29166666666667,0.8806531313782362
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,2,trust_game_punishment/072902_kimi-k2.6-three/data/game_log2.json,360,77.41666666666667,0.8635818617833007
TG,punishment,Kimi-K2.6,trust_game_punishment/072902_kimi-k2.6-three,3,trust_game_punishment/072902_kimi-k2.6-three/data/game_log3.json,360,77.47222222222223,0.8615802280816447
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,1,trust_game_punishment/072903_gpt-5.4-three/data/game_log1.json,360,74.91666666666667,0.8753798828848862
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,2,trust_game_punishment/072903_gpt-5.4-three/data/game_log2.json,360,69.98611111111111,0.8600387776363005
TG,punishment,GPT-5.4,trust_game_punishment/072903_gpt-5.4-three,3,trust_game_punishment/072903_gpt-5.4-three/data/game_log3.json,360,76.11111111111111,0.8853524229074892
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,1,trust_game_punishment/072904_grok-4.3-three/data/game_log1.json,360,82.5,0.8595213137665969
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,2,trust_game_punishment/072904_grok-4.3-three/data/game_log2.json,360,74.86111111111111,0.8775862068965519
TG,punishment,Grok-4.3,trust_game_punishment/072904_grok-4.3-three,3,trust_game_punishment/072904_grok-4.3-three/data/game_log3.json,360,66.23611111111111,0.8644800254908991
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,1,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log1.json,360,100.0,0.8786728395061729
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,2,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log2.json,360,99.95833333333333,0.8671737519681393
TG,punishment,Gemini-3.1-Pro-Preview,trust_game_punishment/072905_gemini-3.1-pro-preview-three,3,trust_game_punishment/072905_gemini-3.1-pro-preview-three/data/game_log3.json,360,100.0,0.881875
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,1,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log1.json,360,85.34722222222223,0.8837395245425006
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,2,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log2.json,360,88.88888888888889,0.8625833333333335
TG,punishment,Claude-Opus-4-6,trust_game_punishment/072906_claude-opus-4-6-three,3,trust_game_punishment/072906_claude-opus-4-6-three/data/game_log3.json,360,87.30555555555556,0.867708544069054
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,1,trust_game_punishment/080501-glm-5.1-three/data/game_log1.json,360,49.15277777777778,0.8667180277349769
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,2,trust_game_punishment/080501-glm-5.1-three/data/game_log2.json,360,48.333333333333336,0.8389300847457628
TG,punishment,GLM-5.1,trust_game_punishment/080501-glm-5.1-three,3,trust_game_punishment/080501-glm-5.1-three/data/game_log3.json,360,47.013888888888886,0.8448460987831068
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,1,trust_game_reputation/090101_glm-5.1/data/game_log1.json,360,93.91666666666667,0.8801630959274271
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,2,trust_game_reputation/090101_glm-5.1/data/game_log2.json,360,94.75,0.86869922599629
TG,reputation,GLM-5.1,trust_game_reputation/090101_glm-5.1,3,trust_game_reputation/090101_glm-5.1/data/game_log3.json,360,93.52777777777777,0.89982904328753
TG,reputation,GPT-5.4,trust_game_reputation/090102_gpt-5.4,1,trust_game_reputation/090102_gpt-5.4/data/game_log1.json,360,85.77777777777777,0.8844960447354064
TG,reputation,GPT-5.4,trust_game_reputation/090102_gpt-5.4,2,trust_game_reputation/090102_gpt-5.4/data/game_log2.json,360,88.13888888888889,0.8627253837388567
TG,reputation,GPT-5.4,trust_game_reputation/090102_gpt-5.4,3,trust_game_reputation/090102_gpt-5.4/data/game_log3.json,360,86.94444444444444,0.8743492224475997
TG,reputation,Claude-Opus-4-6,trust_game_reputation/090201_claude-opus-4-6,1,trust_game_reputation/090201_claude-opus-4-6/data/game_log1.json,360,91.08333333333333,0.8844752904114983
TG,reputation,Claude-Opus-4-6,trust_game_reputation/090201_claude-opus-4-6,2,trust_game_reputation/090201_claude-opus-4-6/data/game_log2.json,360,93.16666666666667,0.8694218083042298
TG,reputation,Claude-Opus-4-6,trust_game_reputation/090201_claude-opus-4-6,3,trust_game_reputation/090201_claude-opus-4-6/data/game_log3.json,360,92.19444444444444,0.8914745718564825
TG,reputation,Grok-4.3,trust_game_reputation/090202_grok-4.3,1,trust_game_reputation/090202_grok-4.3/data/game_log1.json,360,65.52777777777777,0.8180351847399214
TG,reputation,Grok-4.3,trust_game_reputation/090202_grok-4.3,2,trust_game_reputation/090202_grok-4.3/data/game_log2.json,360,67.88888888888889,0.8397737983034874
TG,reputation,Grok-4.3,trust_game_reputation/090202_grok-4.3,3,trust_game_reputation/090202_grok-4.3/data/game_log3.json,360,72.69444444444444,0.8375405629763792
TG,reputation,Kimi-K2.6,trust_game_reputation/090203_kimi-k2.6,1,trust_game_reputation/090203_kimi-k2.6/data/game_log1.json,360,91.36111111111111,0.8954362350167027
TG,reputation,Kimi-K2.6,trust_game_reputation/090203_kimi-k2.6,2,trust_game_reputation/090203_kimi-k2.6/data/game_log2.json,360,90.52777777777777,0.8737151610990315
TG,reputation,Kimi-K2.6,trust_game_reputation/090203_kimi-k2.6,3,trust_game_reputation/090203_kimi-k2.6/data/game_log3.json,360,92.5,0.8946799870045485
TG,reputation,Gemini-3.1-Pro-Preview,trust_game_reputation/090204_gemini-3.1-pro-preview,1,trust_game_reputation/090204_gemini-3.1-pro-preview/data/game_log1.json,360,95.41666666666667,0.8948026106335563
TG,reputation,Gemini-3.1-Pro-Preview,trust_game_reputation/090204_gemini-3.1-pro-preview,2,trust_game_reputation/090204_gemini-3.1-pro-preview/data/game_log2.json,360,95.83333333333333,0.8705238095238097
TG,reputation,Gemini-3.1-Pro-Preview,trust_game_reputation/090204_gemini-3.1-pro-preview,3,trust_game_reputation/090204_gemini-3.1-pro-preview/data/game_log3.json,360,93.47222222222223,0.8851968376895774
TG,reward,Grok-4.3,trust_game_reward/082801_grok-4.3-three,1,trust_game_reward/082801_grok-4.3-three/data/game_log1.json,240,58.0,0.9037117616033756
TG,reward,Grok-4.3,trust_game_reward/082801_grok-4.3-three,2,trust_game_reward/082801_grok-4.3-three/data/game_log2.json,240,58.583333333333336,0.9138750218952532
TG,reward,Grok-4.3,trust_game_reward/082801_grok-4.3-three,3,trust_game_reward/082801_grok-4.3-three/data/game_log3.json,240,59.958333333333336,0.9380806633671963
TG,reward,Kimi-K2.6,trust_game_reward/082802_kimi-k2.6-three,1,trust_game_reward/082802_kimi-k2.6-three/data/game_log1.json,240,66.95833333333333,0.9310581482405791
