game,mechanism,outcome,model,calculated_mean_pp,table_mean_pp,calculated_sd_pp,table_sd_pp,mean_matches_2dp,sd_matches_2dp,fully_matches_2dp
TG,punishment,receiver,GLM-5.1,56.82907038074549,56.83,1.3103493746650325,1.31,True,True,True
TG,punishment,receiver,GPT-5.4,43.83516288836677,43.84,1.034575703878211,1.03,True,True,True
TG,punishment,receiver,Gemini-3.1-Pro-Preview,63.47222222222223,63.47,0.1582222915799588,0.16,True,True,True
TG,punishment,receiver,Claude-Opus-4-6,45.31635802469136,45.32,0.7973867874054914,0.8,True,True,True
TG,punishment,receiver,Kimi-K2.6,55.420867712176516,55.42,1.1390586857735243,1.14,True,True,True
TG,punishment,receiver,Grok-4.3,66.82034254797424,66.82,3.5392592118749056,3.54,True,True,True
TG,reputation,sender,GLM-5.1,94.06481481481482,44.21,0.624433900003238,3.8,False,False,False
TG,reputation,sender,GPT-5.4,86.95370370370371,3.51,1.1805827883569182,0.53,False,False,False
TG,reputation,sender,Gemini-3.1-Pro-Preview,94.9074074074074,56.81,1.2602460730385379,5.25,False,False,False
TG,reputation,sender,Claude-Opus-4-6,92.14814814814815,56.48,1.0424379860368218,1.56,False,False,False
TG,reputation,sender,Kimi-K2.6,91.46296296296295,28.12,0.990048217639442,5.09,False,False,False
TG,reputation,sender,Grok-4.3,68.70370370370371,2.56,3.6521528123298763,0.29,False,False,False
TG,reputation,receiver,GLM-5.1,56.17994247433911,25.23,0.7734933857030822,2.52,False,False,False
TG,reputation,receiver,GPT-5.4,40.19349378880386,0.0,0.028292076151990534,0.0,False,False,False
TG,reputation,receiver,Gemini-3.1-Pro-Preview,49.85104038520391,42.56,0.12165199567157332,1.49,False,False,False
TG,reputation,receiver,Claude-Opus-4-6,50.134394973299344,25.39,0.16026299045162276,0.4,False,False,False
TG,reputation,receiver,Kimi-K2.6,49.34445219089414,26.57,0.25184417724718833,1.0,False,False,False
TG,reputation,receiver,Grok-4.3,42.89649139919906,0.0,0.7356959430213775,0.0,False,False,False
TG,reward,sender,GLM-5.1,53.15277777777778,53.15,1.1890219292124753,1.19,True,True,True
TG,reward,sender,GPT-5.4,19.083333333333332,19.08,1.5178338000072487,1.52,True,True,True
TG,reward,sender,Gemini-3.1-Pro-Preview,99.02777777777777,99.03,0.4811252243246854,0.48,True,True,True
TG,reward,sender,Claude-Opus-4-6,59.541666666666664,59.54,0.3410563654946886,0.34,True,True,True
TG,reward,sender,Kimi-K2.6,48.416666666666664,48.42,1.3737367934862115,1.37,True,True,True
TG,reward,sender,Grok-4.3,34.541666666666664,34.54,0.7534642216677169,0.75,True,True,True
TG,reward,receiver,GLM-5.1,43.04991540266369,43.05,0.36705788139639484,0.37,True,True,True
TG,reward,receiver,GPT-5.4,36.64568562916564,36.65,0.6659251076424806,0.67,True,True,True
TG,reward,receiver,Gemini-3.1-Pro-Preview,49.929676511954995,49.93,0.12180385425941195,0.12,True,True,True
TG,reward,receiver,Claude-Opus-4-6,51.860780423280424,51.86,0.2852874024758615,0.29,True,True,True
TG,reward,receiver,Kimi-K2.6,49.728202311080274,49.73,2.851574515115557,2.85,True,True,True
TG,reward,receiver,Grok-4.3,46.98074168261302,46.98,0.5494314400439816,0.55,True,True,True
